"DateTime";"Players"
"2024-11-21 23:00:00";396
"2024-11-22 00:00:00";9525
"2024-11-22 01:00:00";13406
"2024-11-22 02:00:00";15039
"2024-11-22 03:00:00";15662
"2024-11-22 04:00:00";16191
"2024-11-22 05:00:00";16937
"2024-11-22 06:00:00";17015
"2024-11-22 07:00:00";17138
"2024-11-22 08:00:00";16903
"2024-11-22 09:00:00";16707
"2024-11-22 10:00:00";17877
"2024-11-22 11:00:00";20161
"2024-11-22 12:00:00";23243
"2024-11-22 13:00:00";26206
"2024-11-22 14:00:00";28479
"2024-11-22 15:00:00";28546
"2024-11-22 16:00:00";27909
"2024-11-22 17:00:00";25854
"2024-11-22 18:00:00";23241
"2024-11-22 19:00:00";21092
"2024-11-22 20:00:00";19347
"2024-11-22 21:00:00";18530
"2024-11-22 22:00:00";17735
"2024-11-22 23:00:00";16899
"2024-11-23 00:00:00";16948
"2024-11-23 01:00:00";18298
"2024-11-23 02:00:00";19717
"2024-11-23 03:00:00";21010
"2024-11-23 04:00:00";22334
"2024-11-23 05:00:00";23308
"2024-11-23 06:00:00";23827
"2024-11-23 07:00:00";24749
"2024-11-23 08:00:00";24652
"2024-11-23 09:00:00";23949
"2024-11-23 10:00:00";24667
"2024-11-23 11:00:00";27344
"2024-11-23 12:00:00";30557
"2024-11-23 13:00:00";33404
"2024-11-23 14:00:00";35163
"2024-11-23 15:00:00";35113
"2024-11-23 16:00:00";34291
"2024-11-23 17:00:00";32359
"2024-11-23 18:00:00";29323
"2024-11-23 19:00:00";27231
"2024-11-23 20:00:00";25341
"2024-11-23 21:00:00";23952
"2024-11-23 22:00:00";22705
"2024-11-23 23:00:00";21493
"2024-11-24 00:00:00";20370
"2024-11-24 01:00:00";20752
"2024-11-24 02:00:00";22374
"2024-11-24 03:00:00";23346
"2024-11-24 04:00:00";25173
"2024-11-24 05:00:00";26613
"2024-11-24 06:00:00";27514
"2024-11-24 07:00:00";29028
"2024-11-24 08:00:00";29081
"2024-11-24 09:00:00";28607
"2024-11-24 10:00:00";29082
"2024-11-24 11:00:00";31490
"2024-11-24 12:00:00";35112
"2024-11-24 13:00:00";37694
"2024-11-24 14:00:00";38043
"2024-11-24 15:00:00";37121
"2024-11-24 16:00:00";34027
"2024-11-24 17:00:00";30559
"2024-11-24 18:00:00";27945
"2024-11-24 19:00:00";26212
"2024-11-24 20:00:00";24895
"2024-11-24 21:00:00";23410
"2024-11-24 22:00:00";21660
"2024-11-24 23:00:00";19615
"2024-11-25 00:00:00";18256
"2024-11-25 01:00:00";18394
"2024-11-25 02:00:00";18842
"2024-11-25 03:00:00";18770
"2024-11-25 04:00:00";18679
"2024-11-25 05:00:00";18512
