"DateTime";"Positive reviews";"Negative reviews"
"2024-09-04 00:00:00";273;-330
"2024-09-05 00:00:00";321;-317
"2024-09-06 00:00:00";323;-228
"2024-09-07 00:00:00";293;-242
"2024-09-08 00:00:00";327;-281
"2024-09-09 00:00:00";231;-181
"2024-09-10 00:00:00";166;-158
"2024-09-11 00:00:00";193;-189
"2024-09-12 00:00:00";171;-163
"2024-09-13 00:00:00";94;-90
"2024-09-14 00:00:00";158;-63
"2024-09-15 00:00:00";160;-114
"2024-09-16 00:00:00";204;-106
"2024-09-17 00:00:00";62;-45
"2024-09-18 00:00:00";110;-48
"2024-09-19 00:00:00";82;-61
"2024-09-20 00:00:00";134;-95
"2024-09-21 00:00:00";49;-22
"2024-09-22 00:00:00";101;-46
"2024-09-23 00:00:00";80;-38
"2024-09-24 00:00:00";67;-34
"2024-09-25 00:00:00";68;-57
"2024-09-26 00:00:00";35;-29
"2024-09-27 00:00:00";120;-97
"2024-09-28 00:00:00";23;-30
"2024-09-29 00:00:00";60;-49
"2024-09-30 00:00:00";66;-41
"2024-10-01 00:00:00";41;-23
"2024-10-02 00:00:00";68;-44
"2024-10-03 00:00:00";58;-39
"2024-10-04 00:00:00";59;-36
"2024-10-05 00:00:00";29;-38
"2024-10-06 00:00:00";63;-39
"2024-10-07 00:00:00";43;-43
"2024-10-08 00:00:00";16;-14
"2024-10-09 00:00:00";49;-43
"2024-10-10 00:00:00";35;-26
"2024-10-11 00:00:00";27;-27
"2024-10-12 00:00:00";15;-14
"2024-10-13 00:00:00";41;-28
"2024-10-14 00:00:00";47;-28
"2024-10-15 00:00:00";58;-34
"2024-10-16 00:00:00";18;-10
"2024-10-17 00:00:00";68;-33
"2024-10-18 00:00:00";33;-23
"2024-10-19 00:00:00";91;-84
"2024-10-20 00:00:00";92;-61
"2024-10-21 00:00:00";48;-56
"2024-10-22 00:00:00";40;-37
"2024-10-23 00:00:00";53;-48
"2024-10-24 00:00:00";35;-26
"2024-10-25 00:00:00";71;-72
"2024-10-26 00:00:00";16;-18
"2024-10-27 00:00:00";58;-46
"2024-10-28 00:00:00";64;-68
"2024-10-29 00:00:00";21;-16
"2024-10-30 00:00:00";65;-61
"2024-10-31 00:00:00";42;-75
"2024-11-01 00:00:00";74;-63
"2024-11-02 00:00:00";32;-21
"2024-11-03 00:00:00";67;-36
"2024-11-04 00:00:00";52;-42
"2024-11-05 00:00:00";50;-25
"2024-11-06 00:00:00";68;-46
"2024-11-07 00:00:00";31;-25
"2024-11-08 00:00:00";35;-28
"2024-11-09 00:00:00";72;-38
"2024-11-10 00:00:00";50;-43
"2024-11-11 00:00:00";67;-47
"2024-11-12 00:00:00";27;-18
"2024-11-13 00:00:00";37;-30
"2024-11-14 00:00:00";65;-35
"2024-11-15 00:00:00";22;-17
"2024-11-16 00:00:00";40;-47
"2024-11-17 00:00:00";34;-35
"2024-11-18 00:00:00";47;-27
"2024-11-19 00:00:00";39;-31
"2024-11-20 00:00:00";33;-24
"2024-11-21 00:00:00";40;-36
"2024-11-22 00:00:00";49;-31
"2024-11-23 00:00:00";34;-21
"2024-11-24 00:00:00";54;-37
"2024-11-25 00:00:00";50;-44
"2024-11-26 00:00:00";29;-18
"2024-11-27 00:00:00";107;-40
"2024-11-28 00:00:00";216;-38
"2024-11-29 00:00:00";292;-93
"2024-11-30 00:00:00";216;-80
"2024-12-01 00:00:00";169;-96
"2024-12-02 00:00:00";135;-62
