"DateTime";"Positive reviews";"Negative reviews"
"2024-08-22 00:00:00";5;-10
"2024-08-23 00:00:00";41;-54
"2024-08-24 00:00:00";73;-57
"2024-08-25 00:00:00";64;-32
"2024-08-26 00:00:00";72;-25
"2024-08-27 00:00:00";64;-8
"2024-08-28 00:00:00";48;-12
"2024-08-29 00:00:00";19;-7
"2024-08-30 00:00:00";26;-10
"2024-08-31 00:00:00";32;-15
"2024-09-01 00:00:00";30;-4
"2024-09-02 00:00:00";27;-7
"2024-09-03 00:00:00";17;-3
"2024-09-04 00:00:00";29;-15
"2024-09-05 00:00:00";13;-2
"2024-09-06 00:00:00";18;-11
"2024-09-07 00:00:00";9;-4
"2024-09-08 00:00:00";6;-7
"2024-09-09 00:00:00";15;-4
"2024-09-10 00:00:00";10;-8
"2024-09-11 00:00:00";7;-3
"2024-09-12 00:00:00";;
"2024-09-13 00:00:00";1;-2
"2024-09-14 00:00:00";4;-6
"2024-09-15 00:00:00";3;-1
"2024-09-16 00:00:00";10;-2
"2024-09-17 00:00:00";11;-2
"2024-09-18 00:00:00";6;-2
"2024-09-19 00:00:00";;-1
"2024-09-20 00:00:00";3;-2
"2024-09-21 00:00:00";6;-1
"2024-09-22 00:00:00";;-1
"2024-09-23 00:00:00";;-3
"2024-09-24 00:00:00";3;-1
"2024-09-25 00:00:00";2;
"2024-09-26 00:00:00";8;-2
"2024-09-27 00:00:00";;
"2024-09-28 00:00:00";1;
"2024-09-29 00:00:00";1;-3
"2024-09-30 00:00:00";1;
"2024-10-01 00:00:00";2;-2
"2024-10-02 00:00:00";4;-1
"2024-10-03 00:00:00";1;-1
"2024-10-04 00:00:00";1;-3
"2024-10-05 00:00:00";2;
"2024-10-06 00:00:00";1;-4
"2024-10-07 00:00:00";4;-1
"2024-10-08 00:00:00";4;-6
"2024-10-09 00:00:00";3;
"2024-10-10 00:00:00";3;-4
"2024-10-11 00:00:00";7;-4
"2024-10-12 00:00:00";1;-3
"2024-10-13 00:00:00";8;-3
"2024-10-14 00:00:00";3;-1
"2024-10-15 00:00:00";2;-2
"2024-10-16 00:00:00";3;-1
"2024-10-17 00:00:00";;
"2024-10-18 00:00:00";2;-1
"2024-10-19 00:00:00";3;-2
"2024-10-20 00:00:00";2;-2
"2024-10-21 00:00:00";3;-2
"2024-10-22 00:00:00";1;
"2024-10-23 00:00:00";2;-1
"2024-10-24 00:00:00";2;-2
"2024-10-25 00:00:00";3;-1
"2024-10-26 00:00:00";;
"2024-10-27 00:00:00";1;-1
"2024-10-28 00:00:00";;-1
"2024-10-29 00:00:00";2;
"2024-10-30 00:00:00";2;
"2024-10-31 00:00:00";2;
"2024-11-01 00:00:00";1;
"2024-11-02 00:00:00";2;-1
"2024-11-03 00:00:00";1;
"2024-11-04 00:00:00";1;
"2024-11-05 00:00:00";;
"2024-11-06 00:00:00";1;
"2024-11-07 00:00:00";1;
"2024-11-08 00:00:00";;
"2024-11-09 00:00:00";1;
"2024-11-10 00:00:00";2;-2
"2024-11-11 00:00:00";1;
"2024-11-12 00:00:00";;
"2024-11-13 00:00:00";1;-1
"2024-11-14 00:00:00";1;-1
"2024-11-15 00:00:00";1;
"2024-11-16 00:00:00";1;
"2024-11-17 00:00:00";;
"2024-11-18 00:00:00";;
"2024-11-19 00:00:00";1;-1
"2024-11-20 00:00:00";2;-4
"2024-11-21 00:00:00";6;-4
"2024-11-22 00:00:00";;-1
"2024-11-23 00:00:00";1;-1
"2024-11-24 00:00:00";3;-2
"2024-11-25 00:00:00";1;-4
"2024-11-26 00:00:00";5;-2
"2024-11-27 00:00:00";6;-3
"2024-11-28 00:00:00";7;-3
"2024-11-29 00:00:00";12;
"2024-11-30 00:00:00";7;-4
"2024-12-01 00:00:00";9;-3
"2024-12-02 00:00:00";5;-2
