"DateTime";"Positive reviews";"Negative reviews"
"2024-09-05 00:00:00";3449;-1342
"2024-09-06 00:00:00";8576;-2659
"2024-09-07 00:00:00";6391;-1491
"2024-09-08 00:00:00";3904;-777
"2024-09-09 00:00:00";8322;-1465
"2024-09-10 00:00:00";5972;-2001
"2024-09-11 00:00:00";5911;-1292
"2024-09-12 00:00:00";2068;-424
"2024-09-13 00:00:00";4683;-1041
"2024-09-14 00:00:00";3148;-723
"2024-09-15 00:00:00";3081;-773
"2024-09-16 00:00:00";1318;-307
"2024-09-17 00:00:00";1793;-320
"2024-09-18 00:00:00";2427;-475
"2024-09-19 00:00:00";1900;-334
"2024-09-20 00:00:00";1127;-230
"2024-09-21 00:00:00";1041;-241
"2024-09-22 00:00:00";1531;-328
"2024-09-23 00:00:00";1532;-305
"2024-09-24 00:00:00";1203;-220
"2024-09-25 00:00:00";1083;-189
"2024-09-26 00:00:00";675;-104
"2024-09-27 00:00:00";1832;-194
"2024-09-28 00:00:00";983;-213
"2024-09-29 00:00:00";1187;-274
"2024-09-30 00:00:00";1106;-321
"2024-10-01 00:00:00";520;-115
"2024-10-02 00:00:00";964;-257
"2024-10-03 00:00:00";642;-142
"2024-10-04 00:00:00";339;-71
"2024-10-05 00:00:00";604;-117
"2024-10-06 00:00:00";616;-131
"2024-10-07 00:00:00";752;-128
"2024-10-08 00:00:00";629;-82
"2024-10-09 00:00:00";484;
"2024-10-10 00:00:00";533;-19
"2024-10-11 00:00:00";421;
"2024-10-12 00:00:00";655;-35
"2024-10-13 00:00:00";419;-31
"2024-10-14 00:00:00";462;-19
"2024-10-15 00:00:00";422;-56
"2024-10-16 00:00:00";328;-20
"2024-10-17 00:00:00";456;-789
"2024-10-18 00:00:00";176;-2049
"2024-10-19 00:00:00";409;-797
"2024-10-20 00:00:00";292;-321
"2024-10-21 00:00:00";398;-346
"2024-10-22 00:00:00";301;-221
"2024-10-23 00:00:00";261;-185
"2024-10-24 00:00:00";962;
"2024-10-25 00:00:00";376;
"2024-10-26 00:00:00";511;
"2024-10-27 00:00:00";465;
"2024-10-28 00:00:00";239;
"2024-10-29 00:00:00";299;
"2024-10-30 00:00:00";159;
"2024-10-31 00:00:00";254;
"2024-11-01 00:00:00";262;
"2024-11-02 00:00:00";316;-2
"2024-11-03 00:00:00";241;-25
"2024-11-04 00:00:00";225;-8
"2024-11-05 00:00:00";221;-4
"2024-11-06 00:00:00";221;-4
"2024-11-07 00:00:00";112;-9
"2024-11-08 00:00:00";154;-5
"2024-11-09 00:00:00";174;-15
"2024-11-10 00:00:00";215;-22
"2024-11-11 00:00:00";220;-29
"2024-11-12 00:00:00";186;-11
"2024-11-13 00:00:00";242;-32
"2024-11-14 00:00:00";153;-10
"2024-11-15 00:00:00";133;-18
"2024-11-16 00:00:00";296;-50
"2024-11-17 00:00:00";351;-34
"2024-11-18 00:00:00";231;-42
"2024-11-19 00:00:00";265;-25
"2024-11-20 00:00:00";138;-7
"2024-11-21 00:00:00";238;-5
"2024-11-22 00:00:00";96;-4
"2024-11-23 00:00:00";102;-15
"2024-11-24 00:00:00";153;-8
"2024-11-25 00:00:00";174;-8
"2024-11-26 00:00:00";65;
"2024-11-27 00:00:00";1773;-8
"2024-11-28 00:00:00";3661;
"2024-11-29 00:00:00";2806;-3
"2024-11-30 00:00:00";2187;-17
"2024-12-01 00:00:00";2112;-41
"2024-12-02 00:00:00";1105;-24
